Name of the Place,Description,Image Url,Budget,Province,Type
Pigeon Island National Park,"Marine national park ideal for snorkeling",https://example.com/pigeon_island.jpg,Medium,Eastern,Nature
Kataragama,"Multi-religious pilgrimage town",https://example.com/kataragama.jpg,Low,Uva,Culture
Riverston,"Off-the-beaten-path destination with mini world's end",https://example.com/riverston.jpg,Low,Central,Adventure
Maduru Oya National Park,"Protect watershed with elephants and ancient reservoirs",https://example.com/maduru_oya.jpg,Medium,Eastern,Nature
Mannar Island,"Remote island known for baobab trees and migratory birds",https://example.com/mannar.jpg,Low,Northern,Nature
Kudumbigala Monastery,"Ancient forest monastery with panoramic views",https://example.com/kudumbigala.jpg,Low,Eastern,Culture
Kalutara,"Coastal town with the world's only hollow Buddhist shrine",https://example.com/kalutara.jpg,Medium,Western,Culture
Delft Island,"Remote island with wild ponies and colonial ruins",https://example.com/delft.jpg,Low,Northern,Adventure
Lunugamvehera National Park,"Wildlife corridor between Yala and Udawalawe",https://example.com/lunugamvehera.jpg,Medium,Uva,Nature
Magul Maha Vihara,"Ancient Buddhist temple with intricate stone carvings",https://example.com/magul_maha.jpg,Low,Eastern,Culture
Koggala,"Coastal town known for stilt fishermen and Martin Wickramasinghe museum",https://example.com/koggala.jpg,Medium,Southern,Culture
Knuckles Cloudforest,"Misty mountain range with diverse ecosystems",https://example.com/knuckles_cloud.jpg,Medium,Central,Nature
Nallur Kandaswamy Temple,"Iconic Hindu temple in Jaffna",https://example.com/nallur.jpg,Low,Northern,Culture
